"???","????","??","???","?(%)"
"0","??","254842","48435","19.01"
"1","???","13752","2707","19.68"
"2","???","4555","522","11.46"
"3","???","5637","182","3.23"
"4","???","5501","513","9.33"
"5","???","3642","191","5.24"
"6","???","3539","135","3.81"
"7","???","6239","311","4.98"
"8","???","6815","1572","23.07"
"9","???","4201","2996","71.32"
"10","???","4952","238","4.81"
"11","???","9097","1218","13.39"
"12","???","10048","1825","18.16"
"13","???","9446","6539","69.23"
"14","????","8466","6296","74.37"
"15","???","6495","845","13.01"
"16","???","2979","239","8.02"
"17","???","3437","320","9.31"
"18","???","3357","212","6.32"
"19","???","2159","389","18.02"
"20","???","8821","527","5.97"
"21","???","5851","536","9.16"
"22","???","8306","3330","40.09"
"23","???","8064","1142","14.16"
"24","???","4864","226","4.65"
"25","???","4508","251","5.57"
"26","???","4120","826","20.05"
"27","???","5844","2308","39.49"
"28","???","8863","2625","29.62"
"29","???","2297","516","22.46"
"30","????","2587","196","7.58"
"31","???","2963","374","12.62"
"32","???","4769","68","1.43"
"33","???","5349","360","6.73"
"34","???","7640","1050","13.74"
"35","???","3913","382","9.76"
"36","???","2031","243","11.96"
"37","???","1762","403","22.87"
"38","???","3169","3156","99.59"
"39","???","3858","187","4.85"
"40","???","7733","764","9.88"
"41","???","2855","112","3.92"
"42","???","4851","164","3.38"
"43","???","6010","251","4.18"
"44","???","5965","137","2.30"
"45","???","4099","136","3.32"
"46","????","7432","344","4.63"
"47","???","2001","571","28.54"
