idref,score,geom
n00001,45,0,0101000020041200000612143FC6596040FE4465C39A064040
n00002,45,0,0101000020041200002E1796E4A55B60400292FAFC41064040
n00003,45,0,01010000200412000014138A63135A6040F34707DAD3054040
n00004,45,0,01010000200412000098EAB8D0CB596040031544937A064040
n00005,45,0,0101000020041200008DD5E6FF15586040D2C3D0EAE4044040
n00006,45,0,010100002004120000832B4597DC5B6040CEB4B39E10064040
n00007,45,0,010100002004120000A82C5448C35B60402D0208C490044040
n00008,45,0,01010000200412000077A22424D25860403C1AE2B3D0064040
n00009,45,0,010100002004120000DF855220585A6040938A6B216D064040
n00010,45,0,0101000020041200005E7FB7E5885B604070B8EA950D044040
n00011,45,0,010100002004120000A20271685B5C6040770481DFD0054040
n00012,45,0,010100002004120000780F2B376C7560401B20E230E2484040
n00013,45,0,010100002004120000AB6C697F71756040AD1CB51DAE484040
n00014,45,0,010100002004120000269820D9D2756040528F7E45C84C4040
n00015,45,0,0101000020041200002A3A92CB7F756040E3B496B844444040
n00016,45,0,0101000020041200005C14877D8C756040F3B0AB240D444040
n00017,45,0,0101000020041200009F58A7CAB7756040818D902683454040
n00018,45,0,01010000200412000061FC34EE0D736040E8F3F68CE9484040
n00019,45,0,010100002004120000065ACBAE05796040C925E9F582564040
n00020,45,0,0101000020041200001FF818AC78756040B686AD34844B4040
n00021,45,0,01010000200412000047C8409E5D7560401519C2D6114B4040
n00022,45,0,01010000200412000049DB53CD47756040035A5FC9FA4A4040
n00023,45,0,01010000200412000062461DC2DD7560405E2A36E675494040
n00024,45,0,0101000020041200000FB743C3E27560406224C511B5494040
n00025,45,0,0101000020041200002F151BF3BA73604005AF4CAE184A4040
n00026,45,0,010100002004120000A090F870A47560409D9A7054134B4040
n00027,45,0,0101000020041200006C370BC5A77560406CA11AE54F4B4040
n00028,45,0,010100002004120000D8E5A5AC7074604055C9B6C2AA4A4040
n00029,45,0,010100002004120000BFDF1E3A737460405F37B6E8AE4A4040
n00030,45,0,01010000200412000056E6F747E9746040DD13DA28A1494040
n00031,45,0,01010000200412000091B17F434D756040BAB07FE893494040
n00032,45,0,010100002004120000DB6D179A2B766040BD3A223A5F4C4040
n00033,45,0,010100002004120000180B9E9DA7756040FE24E3BD0F414040
n00034,45,0,01010000200412000095D7A5A1A175604087078321614B4040
n00035,45,0,01010000200412000058A599937C756040D91A5B199E4B4040
n00036,45,0,0101000020041200003A32A028DA756040121846D50A4A4040
n00037,45,0,0101000020041200001EBD8685BF7560401E3DD92846474040
n00038,45,0,0101000020041200006B8EBD28CB75604098FE8062BF474040
n00040,45,0,010100002004120000FAE70E07AE756040B36D6292DB454040
n00041,45,0,010100002004120000BE0B00FAE27560404DBA2D910B494040
n00042,45,0,010100002004120000E949F48D437A6040AE0FEB8D5A5A4040
n00043,45,0,0101000020041200004F9A61FE6579604049DFFF22C3614040
n00044,45,0,010100002004120000F65BE0975F766040AECCA50238564040
n00045,45,0,01010000200412000029B4ACFB87716040607BC102F3474040
n00046,45,0,01010000200412000092E5C9DA8B706040220A1CBFA6484040
n00047,45,0,0101000020041200004B992F8A797060400A4735913E494040
n00048,45,0,010100002004120000D6F1A9ADA26F6040FB8568BE944D4040
n00049,45,0,010100002004120000F7A864A5AE6D6040CFE2207C83E83F40
n00050,45,0,0101000020041200004460F6FC7A6D60403AD4A535BCF13F40
n00051,45,0,010100002004120000D755DC13FF6C6040CD8D8E50D8F23F40
n00052,45,0,010100002004120000B674BB4DEE6D6040F7E9D385B3F43F40
n00053,45,0,010100002004120000BB078D056A6D60403AB58E05E0D43F40
n00054,45,0,0101000020041200003B1C5DA57B6D6040B0B8EE9C1CEE3F40
n00055,45,0,0101000020041200001C1318A14E6E6040F8AD31433EE93F40
n00060,45,0,010100002004120000DDD26A489C6D6040B834C86EB0E93F40
n00064,45,0,010100002004120000C68267E7996E60400213132FAAE83F40
n00065,45,0,010100002004120000213427D4B8686040F2E20EE555F33F40
n00066,45,0,010100002004120000DF26929E586A60409E5104824AF23F40
n00067,45,0,010100002004120000BC3FDEAB166B6040ED88F9A875F13F40
n00068,45,0,0101000020041200007CA5E2B5416F604086B652BE56024040
n00069,45,0,010100002004120000B36B312E0B6F60409DA7F0564C044040
n00070,45,0,010100002004120000EB0BD759236F60404A80F51329014040
n00071,45,0,010100002004120000B7FC76C8436F6040996D026784004040
n00072,45,0,010100002004120000C9833EA2D36D6040C4BE53B769064040
n00073,45,0,010100002004120000A03D4D1CEF6D6040A7576F7951064040
n00074,45,0,01010000200412000041C17BFDBF6D6040D522A298BC034040
n00075,45,0,010100002004120000619D746CCE6E60400DD242B8B8F43F40
n00076,45,0,0101000020041200000D78F41A566D60408791B98D61E93F40
n00077,45,0,01010000200412000059727044926D6040A215CE24A0064040
n00078,45,0,01010000200412000091B0146E9E6E6040381BE1A3B4EB3F40
n00079,45,0,0101000020041200008F8CD5E67F6E6040B0647DB905ED3F40
