gmlid,idref,area,fixed,lat,lon
n00001,5078559721,1,1,43.0344222,141.4702638
n00002,null,1,0,43.1217877,141.2486765
n00003,3878524362,1,1,43.0421574,141.3258532
n00004,5239358171,1,50,43.1421718,141.3720735
n00005,null,1,0,43.2351217,144.3249663
n00006,null,1,0,43.1973842,144.2625893
n00007,206264069,1,1,43.7602974,142.3764305
n00008,null,1,0,43.7619531,142.3796087
n00009,null,1,0,43.7699566,142.3513257
n00010,817302132,1,1,43.7732294,142.3450025
n00011,817277844,1,1,43.7677362,142.3659483
n00012,817277863,1,1,43.7654455,142.3744633
n00013,null,1,0,43.7705766,142.3586697
n00014,601395952,1,1,43.7689618,142.3809529
n00015,490921951,1,50,43.7379893,142.3845181
n00016,198132017,1,50,43.7332072,142.391185
n00017,null,1,0,43.7871854,142.3519532
n00018,null,1,0,43.8035622,142.4222495
n00019,null,1,0,43.8062784,142.426661
n00020,2152782131,1,50,43.7882582,142.3974142
n00021,null,1,0,43.8010119,142.4194
n00022,620402672,1,1,43.8048906,142.425537
n00023,620402673,1,1,43.8081216,142.4307406
n00024,620402670,1,1,43.7928145,142.4060468
n00025,null,1,0,43.7931419,142.4066968
n00026,1356579387,1,50,43.7970527,142.4128946
n00027,null,1,0,43.7853564,142.4117239
n00028,4737527473,1,1,43.781341,142.4154265
n00029,null,1,0,43.7836591,142.4158921
n00030,5921708187,1,1,43.8142412,142.4296135
n00031,497430023,1,1,43.7612617,142.370493
n00032,null,1,0,43.8904454,142.2372386
n00033,206912599,1,1,43.7935931,142.3550736
n00034,206912608,1,1,43.8001612,142.363928
n00035,null,1,0,43.7517781,142.3562679
n00036,2303752420,1,50,43.7477626,142.3574569
n00037,492609120,1,50,43.7455879,142.3574736
n00038,null,1,0,43.7569508,142.3493587
n00039,null,1,0,43.722946,142.1850041
n00040,null,1,0,43.7688263,142.3241706
n00041,2212534527,1,50,43.7226005,142.3694552
n00042,null,1,0,43.6840433,142.3919668
n00043,5784771881,1,1,43.7683204,142.2949819
n00044,5154835136,1,1,43.769177,142.2877205
n00045,206912515,1,1,43.7870829,142.3630706
n00046,null,1,0,43.7758401,142.3189996
n00047,null,1,0,43.7722126,142.3245241
n00048,null,1,0,43.7768741,142.3738552
n00049,null,1,0,43.779387,142.3752678
n00050,null,1,0,43.7861784,142.3832101
n00051,817320865,1,1,43.7329484,142.4440688
n00052,817067578,1,1,43.7455151,142.4202692
n00053,null,1,0,43.7557485,142.5149539
n00054,null,1,0,43.7710051,142.4421238
n00055,null,1,0,43.7704888,142.4480649
n00056,null,1,0,43.7455943,142.4101518
n00057,615280281,1,1,43.7536863,142.4054053
n00058,817219606,1,1,43.8203006,142.4104262
n00059,null,1,0,43.8189998,142.4074588
n00060,null,1,0,43.8243824,142.415745
n00061,5921708186,1,1,43.821527,142.4219994
n00062,null,1,0,43.7501786,142.3826498
n00063,null,1,0,43.7698841,142.3980597
n00064,5921934885,1,1,43.7718537,142.4134467
n00065,202800280,1,1,43.7737849,142.4130506
n00066,null,1,0,43.7555017,142.4019797
n00067,601386739,1,1,43.7606766,142.3905997
n00068,202800267,1,1,43.7600708,142.400043
n00069,null,1,0,43.7624495,142.4126559
n00070,null,1,0,43.8012079,142.382943
n00071,null,1,0,43.8149819,142.4015981
n00072,817219715,1,1,43.8170342,142.4047982
n00073,null,1,0,43.8061507,142.3855486
n00074,550204906,1,1,43.8117386,142.3778234
n00075,null,1,0,43.8020931,142.38506
n00076,null,1,0,43.8052373,142.3893317
n00077,null,1,0,43.8062324,142.3906526
n00078,null,1,0,43.8104129,142.3966404
n00079,null,1,0,43.7947526,142.3986202
n00080,198550603,1,50,43.73417,142.3772269
n00081,null,1,0,43.7848534,142.3364098
n00082,511243608,1,1,43.7865831,142.3340687
n00083,817302106,1,1,43.7887319,142.3300764
n00084,null,1,0,43.4924688,142.2028396
n00085,4967192826,1,1,43.4986304,142.2030409
n00086,5847691386,1,1,43.5116716,142.1918111
n00087,5217298621,1,1,43.5247864,142.1858134
n00088,5608373529,1,1,43.529411,142.1822467
n00089,null,1,0,43.5300129,142.1821679
n00090,null,1,0,43.5284753,142.1847102
n00091,3090740228,1,1,42.7990105,140.7004
n00092,194421988,1,50,42.8080178,140.6866828
n00093,null,1,0,42.7962267,140.9390833
n00094,null,1,0,42.7897602,140.9353116
n00095,null,1,0,42.7975858,140.9499565
n00096,null,1,0,42.8605066,140.8836174
n00097,null,1,0,42.8580983,140.8882467
n00098,3218769440,1,1,42.9007514,140.7522759
n00099,2676957985,1,1,42.8928612,140.7516234
n00100,null,1,0,42.8732556,140.7496435
n00101,null,1,0,42.9041489,140.7533438
n00102,null,1,0,42.9061468,140.7533211
n00103,null,1,0,42.7714599,140.8029408
n00104,null,1,0,42.762518,140.8030591
n00105,3079604317,1,50,42.6480723,140.807925
n00106,3104844777,1,50,42.5444096,140.7679826
n00107,3104844999,1,50,42.5428093,140.7691715
n00108,3104844778,1,50,42.5647641,140.8094983
n00109,3104844991,1,50,42.5651739,140.8228969
n00110,3079574381,1,50,42.646428,140.8309932
n00111,3079574385,1,50,42.6482637,140.8333522
n00112,3104844990,1,50,42.5377181,140.7733691
n00113,3104844883,1,50,42.5407235,140.7710894
n00114,3079574380,1,50,42.5817057,140.7159723
n00115,3079574384,1,50,42.5815841,140.7180484
n00116,3079574382,1,50,42.5826058,140.713906
n00117,3104844787,1,50,42.7386116,140.8777923
n00118,3104845604,1,50,42.7394349,140.8798909
n00119,3079574379,1,50,42.4736324,140.8579021
n00120,3104844774,1,50,42.4689801,140.8767253
n00121,3104844998,1,50,42.4685915,140.8775097
n00122,null,1,0,42.6689457,141.077873
n00123,3079574383,1,50,42.4722082,140.8596271
n00124,3104844989,1,50,42.4873597,140.8389742
n00125,null,1,0,42.4299514,140.9034719
n00126,null,1,0,42.4281975,140.9045769
n00127,3079574378,1,50,42.466475,140.9078048
n00128,3104844775,1,50,42.474251,140.8666029
n00129,780530487,1,1,42.5164386,140.7893944
n00130,null,1,0,42.4629742,140.8821416
n00131,null,1,0,42.4603056,140.8851052
n00132,null,1,0,42.7986002,140.590954
n00133,null,1,0,42.751635,140.4698703
n00134,null,1,0,42.8086077,140.5320327
n00135,null,1,0,42.8117253,140.5426437
n00136,null,1,0,43.6458047,141.8888271
n00137,null,1,0,43.6499194,141.8913522
n00138,null,1,0,43.6464644,141.8864852
n00139,null,1,0,43.8036382,141.936183
n00140,null,1,0,43.8085582,141.9298988
n00141,null,1,0,43.7662244,141.9616049
n00142,null,1,0,43.7275614,141.8782958
n00143,null,1,0,44.011354,142.1533726
n00144,305355420,1,1,44.0135704,142.1551016
n00145,null,1,0,43.6923415,141.9567464
n00146,null,1,0,43.6930544,141.9608862
n00147,null,1,0,43.6955153,141.9627518
n00148,null,1,0,42.2048635,142.6875409
n00149,3104845600,1,50,42.174712,142.7638544
n00150,3104844767,1,50,42.1853206,142.7237043
n00151,3104844769,1,50,42.1922227,142.6917369
n00152,3104845599,1,50,42.1428143,142.8328022
n00153,3104844997,1,50,42.1630875,142.7740032
n00154,2327714265,1,50,42.170668,142.7672526
n00155,3104844766,1,50,42.1734501,142.766311
n00156,3104844765,1,50,42.1413459,142.8217176
n00157,null,1,0,42.1711161,139.5155828
n00158,330666399,1,50,42.1751717,139.5162544
n00159,null,1,0,42.0619772,139.4499866
n00160,null,1,0,42.062004,139.450023
n00161,null,1,0,43.5133481,142.0271307
n00162,null,1,0,43.5099721,142.0253699
n00163,null,1,0,43.5032344,142.0100378
n00164,null,1,0,43.5207466,142.0423711
n00165,null,1,0,42.8661637,143.0428004
