"???","????","??","???","?(%)"
"0","??","6330","5468","86.38"
"1","???","309","133","43.04"
"2","???","45","18","40.00"
"3","???","39","12","30.77"
"4","???","88","58","65.91"
"5","???","47","23","48.94"
"6","???","38","22","57.89"
"7","???","50","14","28.00"
"8","???","88","36","40.91"
"9","???","72","47","65.28"
"10","???","70","62","88.57"
"11","???","250","234","93.60"
"12","???","247","232","93.93"
"13","???","830","805","96.99"
"14","????","475","464","97.68"
"15","???","115","25","21.74"
"16","???","54","49","90.74"
"17","???","71","65","91.55"
"18","???","39","35","89.74"
"19","???","20","19","95.00"
"20","???","90","26","28.89"
"21","???","96","75","78.12"
"22","???","204","191","93.63"
"23","???","396","362","91.41"
"24","???","61","53","86.89"
"25","???","56","54","96.43"
"26","???","191","177","92.67"
"27","???","600","590","98.33"
"28","???","426","414","97.18"
"29","???","69","67","97.10"
"30","????","60","56","93.33"
"31","???","16","16","100.00"
"32","???","26","17","65.38"
"33","???","106","105","99.06"
"34","???","153","150","98.04"
"35","???","77","72","93.51"
"36","???","26","22","84.62"
"37","???","40","38","95.00"
"38","???","55","49","89.09"
"39","???","16","15","93.75"
"40","???","222","209","94.14"
"41","???","30","28","93.33"
"42","???","78","66","84.62"
"43","???","58","54","93.10"
"44","???","32","26","81.25"
"45","???","60","57","95.00"
"46","????","71","61","85.92"
"47","???","68","65","95.59"
