gmlid,area,code,fixed,lat,lon
pt_psn1,1,1,50,43.063167,141.346118
pt_psn10,1,2,50,43.054342,141.379736
pt_psn100,1,4,50,43.09469,141.322424
pt_psn101,1,4,50,43.133325,141.356557
pt_psn102,1,4,50,43.127325,141.337337
pt_psn103,1,4,50,43.085537,141.343901
pt_psn104,1,4,50,43.096024,141.3382
pt_psn105,1,4,50,43.106467,141.338061
pt_psn106,1,4,50,43.110786,141.350746
pt_psn107,1,4,50,43.112522,141.364985
pt_psn108,1,4,50,43.102552,141.387751
pt_psn109,1,4,50,43.094775,141.377613
pt_psn11,1,2,50,43.041865,141.377339
pt_psn110,1,4,50,43.097415,141.415361
pt_psn111,1,4,50,43.079084,141.401251
pt_psn112,1,4,50,43.075445,141.383976
pt_psn113,1,4,50,43.07818,141.369211
pt_psn114,1,4,0,43.073499,141.354478
pt_psn115,1,4,50,43.09458,141.357171
pt_psn116,1,4,0,43.073307,141.41164
pt_psn117,1,4,0,43.059418,141.370394
pt_psn118,1,4,0,43.061724,141.386198
pt_psn119,1,4,50,43.050864,141.389782
pt_psn12,1,2,50,43.077177,141.279957
pt_psn120,1,4,50,43.036228,141.43214
pt_psn121,1,4,0,43.040312,141.406271
pt_psn122,1,4,0,43.05133,141.408579
pt_psn123,1,4,0,43.0427,141.424291
pt_psn124,1,4,50,43.057975,141.418545
pt_psn125,1,4,50,43.053365,141.440249
pt_psn126,1,4,50,43.044299,141.370189
pt_psn127,1,4,50,43.031117,141.396227
pt_psn128,1,4,50,43.003314,141.385396
pt_psn129,1,4,50,43.03431,141.358369
pt_psn13,1,2,50,43.03868,141.468599
pt_psn130,1,4,50,43.020702,141.421364
pt_psn131,1,4,50,43.026838,141.369007
pt_psn132,1,4,50,43.042421,141.38631
pt_psn133,1,4,50,43.014257,141.398978
pt_psn134,1,4,50,43.035671,141.37059
pt_psn135,1,4,0,43.050019,141.374845
pt_psn136,1,4,50,43.003729,141.348594
pt_psn137,1,4,50,42.99037,141.353122
pt_psn138,1,4,50,43.011201,141.365897
pt_psn139,1,4,50,42.970372,141.338068
pt_psn14,1,2,0,43.109935,141.254309
pt_psn140,1,4,50,42.986592,141.335124
pt_psn141,1,4,50,42.963978,141.164361
pt_psn142,1,4,50,42.961865,141.296142
pt_psn143,1,4,50,42.99934,141.324985
pt_psn144,1,4,0,43.082108,141.310148
pt_psn145,1,4,50,43.072942,141.299038
pt_psn146,1,8,0,43.066415,141.297622
pt_psn147,1,4,0,43.079219,141.288983
pt_psn148,1,4,0,43.062803,141.265069
pt_psn149,1,4,0,43.100661,141.29001
pt_psn15,1,2,50,41.784039,140.731709
pt_psn150,1,4,50,43.073839,141.312927
pt_psn151,1,4,0,43.091495,141.307981
pt_psn152,1,4,50,43.089523,141.29326
pt_psn153,1,4,50,43.033896,141.459249
pt_psn154,1,4,50,43.03684,141.473386
pt_psn155,1,4,0,43.019845,141.470929
pt_psn156,1,4,50,43.042395,141.461637
pt_psn157,1,4,0,43.03684,141.473386
pt_psn158,1,4,0,43.060171,141.476552
pt_psn159,1,4,0,43.116936,141.267983
pt_psn16,1,2,0,41.796013,140.751973
pt_psn160,1,4,0,43.128513,141.212827
pt_psn161,1,4,0,43.117269,141.241652
pt_psn162,1,4,0,43.13888,141.235248
pt_psn163,1,4,50,43.133377,141.209264
pt_psn164,1,4,0,43.097271,141.25829
pt_psn165,1,4,0,43.130989,141.243762
