"???","????","??","???","?(%)"
"0","??","24526","19960","81.38"
"1","???","1515","607","40.07"
"2","???","362","102","28.18"
"3","???","433","90","20.79"
"4","???","456","305","66.89"
"5","???","401","96","23.94"
"6","???","398","188","47.24"
"7","???","548","113","20.62"
"8","???","522","260","49.81"
"9","???","359","246","68.52"
"10","???","340","331","97.35"
"11","???","645","629","97.52"
"12","???","723","711","98.34"
"13","???","1512","1472","97.35"
"14","????","767","752","98.04"
"15","???","682","124","18.18"
"16","???","292","283","96.92"
"17","???","328","314","95.73"
"18","???","243","234","96.30"
"19","???","268","256","95.52"
"20","???","660","126","19.09"
"21","???","457","444","97.16"
"22","???","603","575","95.36"
"23","???","933","902","96.68"
"24","???","467","449","96.15"
"25","???","261","256","98.08"
"26","???","476","469","98.53"
"27","???","1122","1110","98.93"
"28","???","965","945","97.93"
"29","???","323","315","97.52"
"30","????","317","313","98.74"
"31","???","247","238","96.36"
"32","???","379","371","97.89"
"33","???","534","514","96.25"
"34","???","704","689","97.87"
"35","???","420","409","97.38"
"36","???","239","226","94.56"
"37","???","227","223","98.24"
"38","???","400","392","98.00"
"39","???","323","319","98.76"
"40","???","814","796","97.79"
"41","???","207","199","96.14"
"42","???","448","436","97.32"
"43","???","569","548","96.31"
"44","???","402","389","96.77"
"45","???","310","298","96.13"
"46","????","721","705","97.78"
"47","???","204","191","93.63"
